station_id,station_name,lat,lon,activity_score,connectivity_score,activity_rank_pct,is_transfer_proxy,connectivity,population_within_radius,population_density_within_radius,city_average_population_density,residential_density_ratio
rajiv_chowk,Rajiv Chowk,28.6327804,77.2196996,1.0,0.9863013698630136,1.0,1,94.0,45222.68062989572,14394.826324228025,7581.546434751025,1.8986662481215473
noida_city_centre,Noida City Centre,,,0.8503476831031955,1.0,0.9859154929577465,1,95.0,,,,
new_delhi,New Delhi,28.6436415,77.2217373,0.6720794729392705,0.9863013698630136,0.971830985915493,1,94.0,171409.98627072517,54561.493220599645,7581.546434751025,7.196617957849575
mandi_house,Mandi House,28.6255556,77.234195,0.6616610865674796,0.9863013698630136,0.9577464788732394,1,94.0,40006.779507751875,12734.55343169251,7581.546434751025,1.6796775619973772
aiims,AIIMS,28.5668602,77.2078058,0.5256959715425947,0.9863013698630136,0.9436619718309859,1,94.0,18706.037356380864,5954.31662185933,7581.546434751025,0.7853696700407886
kalkaji_mandir,Kalkaji Mandir,28.5497752,77.2606671,0.5169835326540361,0.9863013698630136,0.9295774647887324,1,94.0,47629.569917380155,15160.962979384178,7581.546434751025,1.9997190691719424
dilshad_garden,Dilshad Garden,28.67588615,77.32143997586601,0.5158961287098854,0.9726027397260274,0.9154929577464789,1,93.0,73651.95549613678,23444.14557118892,7581.546434751025,3.0922643253531445
janakpuri_west,Janakpuri West,28.6289502,77.0779235,0.515786067581935,0.9726027397260274,0.9014084507042254,1,93.0,74103.39332082773,23587.84269378535,7581.546434751025,3.111217862581088
central_secretariat,Central Secretariat,28.6158794,77.2122822,0.5145489805037718,0.9726027397260274,0.8873239436619719,1,93.0,0.0,0.0,7581.546434751025,0.0
hauz_khas,Hauz Khas,28.5442564,77.2067072,0.5129002648070738,0.9863013698630136,0.8732394366197183,1,94.0,38921.06210558062,12388.958848979615,7581.546434751025,1.634093908888189
laxmi_nagar,Laxmi Nagar,28.63055515,77.2776331681994,0.5128738501363658,0.9863013698630136,0.8591549295774648,1,94.0,140652.11663443505,44770.959237416275,7581.546434751025,5.905254241034868
chandni_chowk,Chandni Chowk,28.6605039,77.2297797,0.5128188195723905,1.0,0.8450704225352113,1,95.0,59278.860316181315,18869.0472803485,7581.546434751025,2.4888124662614626
kashmere_gate,Kashmere Gate,28.6517178,77.2219388,0.5104481028763376,0.9726027397260274,0.8309859154929577,1,93.0,211576.81237835748,67346.99106728421,7581.546434751025,8.883015048036945
model_town,Model Town,28.7027136,77.1939912,0.5101575414985483,0.9863013698630136,0.8169014084507042,1,94.0,47950.89576187047,15263.244172371802,7581.546434751025,2.0132098779228857
rajouri_garden,Rajouri Garden,28.6421518,77.11606037769263,0.5090129057678635,1.0,0.8028169014084507,1,95.0,79775.64992263567,25393.378047112088,7581.546434751025,3.349366552807507
inderlok,Inderlok,28.6517178,77.2219388,0.506270182459338,0.9863013698630136,0.7887323943661971,1,94.0,211576.81237835748,67346.99106728421,7581.546434751025,8.883015048036945
jasola_vihar,Jasola Vihar,,,0.5007803333971688,0.9863013698630136,0.7746478873239436,1,94.0,,,,
kirti_nagar,Kirti Nagar,28.6532807,77.1417729,0.3715861789637965,0.9726027397260274,0.7605633802816901,1,93.0,50276.158331008875,16003.398236101675,7581.546434751025,2.1108356156400987
pragati_maidan,Pragati Maidan,,,0.36931891972801695,0.9863013698630136,0.7464788732394366,1,94.0,,,,
netaji_subhash_place,Netaji Subhash Place,28.69605175,77.15264042023938,0.3687664128657056,0.9726027397260274,0.7323943661971831,1,93.0,91142.88075286988,29011.679998908818,7581.546434751025,3.826617728796058
old_delhi,Old Delhi,,,0.36654317808110626,0.9726027397260274,0.7183098591549296,1,93.0,,,,
barakhamba_road,Barakhamba Road,,,0.3647029560217745,0.9726027397260274,0.704225352112676,1,93.0,,,,
punjabi_bagh,Punjabi Bagh,28.668945,77.1324614,0.3631466916725549,0.9726027397260274,0.6901408450704225,1,93.0,61491.27309855854,19573.280141298557,7581.546434751025,2.581700225640224
shivaji_park,Shivaji Park,28.6750317,77.1304722,0.35568674842007253,0.958904109589041,0.676056338028169,0,92.0,54107.220242550546,17222.86311712756,7581.546434751025,2.271682072431065
inderlok,INDERLOK,28.6517178,77.2219388,0.014451026099895882,0.0273972602739726,0.6619718309859155,0,24.0,211576.81237835748,67346.99106728421,7581.546434751025,8.883015048036945
model_town,MODEL TOWN,28.7027136,77.1939912,0.01397115958203186,0.0136986301369863,0.647887323943662,0,23.0,47950.89576187047,15263.244172371802,7581.546434751025,2.0132098779228857
mandi_house,MANDI HOUSE,28.6255556,77.234195,0.01254696858635286,0.0273972602739726,0.6338028169014085,0,24.0,40006.779507751875,12734.55343169251,7581.546434751025,1.6796775619973772
kalkaji_mandir,KALKAJI MANDIR,28.5497752,77.2606671,0.012441309903520416,0.0136986301369863,0.6197183098591549,0,23.0,47629.569917380155,15160.962979384178,7581.546434751025,1.9997190691719424
rajouri_garden,RAJOURI GARDEN,28.6421518,77.11606037769263,0.011983455611246486,0.0273972602739726,0.6056338028169014,0,24.0,79775.64992263567,25393.378047112088,7581.546434751025,3.349366552807507
hauz_khas,HAUZ KHAS,28.5442564,77.2067072,0.01185138225770593,0.0273972602739726,0.5915492957746479,0,24.0,38921.06210558062,12388.958848979615,7581.546434751025,1.634093908888189
dilshad_garden,DILSHAD GARDEN,28.67588615,77.32143997586601,0.011827168809556829,0.0136986301369863,0.5774647887323944,0,23.0,73651.95549613678,23444.14557118892,7581.546434751025,3.0922643253531445
rajiv_chowk,RAJIV CHOWK,28.6327804,77.2196996,0.01175893091022754,0.0273972602739726,0.5633802816901409,0,24.0,45222.68062989572,14394.826324228025,7581.546434751025,1.8986662481215473
noida_city_centre,NOIDA CITY CENTRE,,,0.011754528465109522,0.0273972602739726,0.5492957746478874,0,24.0,,,,
chandni_chowk,CHANDNI CHOWK,28.6605039,77.2297797,0.011622455111568966,0.0273972602739726,0.5352112676056338,0,24.0,59278.860316181315,18869.0472803485,7581.546434751025,2.4888124662614626
kashmere_gate,KASHMERE GATE,28.6517178,77.2219388,0.011505790315941474,0.0136986301369863,0.5211267605633803,0,23.0,211576.81237835748,67346.99106728421,7581.546434751025,8.883015048036945
central_secretariat,CENTRAL SECRETARIAT,28.6158794,77.2122822,0.011408936523345067,0.0136986301369863,0.5070422535211268,0,23.0,0.0,0.0,7581.546434751025,0.0
jasola_vihar,JASOLA VIHAR,,,0.011380320630077946,0.0273972602739726,0.49295774647887325,0,24.0,,,,
laxmi_nagar,LAXMI NAGAR,28.63055515,77.2776331681994,0.011268058279568472,0.0273972602739726,0.4788732394366197,0,24.0,140652.11663443505,44770.959237416275,7581.546434751025,5.905254241034868
new_delhi,NEW DELHI,28.6436415,77.2217373,0.011028125020636461,0.0273972602739726,0.4647887323943662,0,24.0,171409.98627072517,54561.493220599645,7581.546434751025,7.196617957849575
janakpuri_west,JANAKPURI WEST,28.6289502,77.0779235,0.010145434774473742,0.0136986301369863,0.4507042253521127,0,23.0,74103.39332082773,23587.84269378535,7581.546434751025,3.111217862581088
