NAME,B01003_001E,state,county,tract,GEOID,population
Census Tract 1.01; King County; Washington,3399,53,033,000101,53033000101,3399
Census Tract 1.02; King County; Washington,4382,53,033,000102,53033000102,4382
Census Tract 2.01; King County; Washington,4691,53,033,000201,53033000201,4691
Census Tract 2.02; King County; Washington,4425,53,033,000202,53033000202,4425
Census Tract 3; King County; Washington,2964,53,033,000300,53033000300,2964
Census Tract 4.02; King County; Washington,5421,53,033,000402,53033000402,5421
Census Tract 4.03; King County; Washington,3298,53,033,000403,53033000403,3298
Census Tract 4.04; King County; Washington,3847,53,033,000404,53033000404,3847
Census Tract 5; King County; Washington,3486,53,033,000500,53033000500,3486
Census Tract 6.01; King County; Washington,4852,53,033,000601,53033000601,4852
Census Tract 6.02; King County; Washington,3700,53,033,000602,53033000602,3700
Census Tract 7; King County; Washington,5508,53,033,000700,53033000700,5508
Census Tract 8; King County; Washington,2636,53,033,000800,53033000800,2636
Census Tract 9; King County; Washington,2092,53,033,000900,53033000900,2092
Census Tract 10; King County; Washington,2055,53,033,001000,53033001000,2055
Census Tract 11; King County; Washington,2549,53,033,001100,53033001100,2549
Census Tract 12.01; King County; Washington,4180,53,033,001201,53033001201,4180
Census Tract 12.02; King County; Washington,3557,53,033,001202,53033001202,3557
Census Tract 13; King County; Washington,4882,53,033,001300,53033001300,4882
Census Tract 14; King County; Washington,5201,53,033,001400,53033001400,5201
Census Tract 15; King County; Washington,2679,53,033,001500,53033001500,2679
Census Tract 16; King County; Washington,4785,53,033,001600,53033001600,4785
Census Tract 17.01; King County; Washington,4109,53,033,001701,53033001701,4109
Census Tract 17.02; King County; Washington,5441,53,033,001702,53033001702,5441
Census Tract 18; King County; Washington,4641,53,033,001800,53033001800,4641
Census Tract 19; King County; Washington,5061,53,033,001900,53033001900,5061
Census Tract 20; King County; Washington,4240,53,033,002000,53033002000,4240
Census Tract 21; King County; Washington,4770,53,033,002100,53033002100,4770
Census Tract 22; King County; Washington,5955,53,033,002200,53033002200,5955
Census Tract 24; King County; Washington,3143,53,033,002400,53033002400,3143
Census Tract 25; King County; Washington,3318,53,033,002500,53033002500,3318
Census Tract 26; King County; Washington,5665,53,033,002600,53033002600,5665
Census Tract 27; King County; Washington,6141,53,033,002700,53033002700,6141
Census Tract 28; King County; Washington,4957,53,033,002800,53033002800,4957
Census Tract 29; King County; Washington,4512,53,033,002900,53033002900,4512
Census Tract 30; King County; Washington,6394,53,033,003000,53033003000,6394
Census Tract 31; King County; Washington,6729,53,033,003100,53033003100,6729
Census Tract 32.01; King County; Washington,4497,53,033,003201,53033003201,4497
Census Tract 32.02; King County; Washington,4811,53,033,003202,53033003202,4811
Census Tract 33.01; King County; Washington,4435,53,033,003301,53033003301,4435
Census Tract 33.02; King County; Washington,3949,53,033,003302,53033003302,3949
Census Tract 34; King County; Washington,3611,53,033,003400,53033003400,3611
Census Tract 35; King County; Washington,4147,53,033,003500,53033003500,4147
Census Tract 36.01; King County; Washington,3641,53,033,003601,53033003601,3641
Census Tract 36.02; King County; Washington,4171,53,033,003602,53033003602,4171
Census Tract 38; King County; Washington,2456,53,033,003800,53033003800,2456
Census Tract 39; King County; Washington,3267,53,033,003900,53033003900,3267
Census Tract 40; King County; Washington,3153,53,033,004000,53033004000,3153
Census Tract 41.01; King County; Washington,4069,53,033,004101,53033004101,4069
Census Tract 41.02; King County; Washington,4099,53,033,004102,53033004102,4099
Census Tract 42.01; King County; Washington,3669,53,033,004201,53033004201,3669
Census Tract 42.02; King County; Washington,4688,53,033,004202,53033004202,4688
Census Tract 43.01; King County; Washington,3912,53,033,004301,53033004301,3912
Census Tract 43.02; King County; Washington,4532,53,033,004302,53033004302,4532
Census Tract 44.01; King County; Washington,3656,53,033,004401,53033004401,3656
Census Tract 44.02; King County; Washington,3315,53,033,004402,53033004402,3315
Census Tract 45; King County; Washington,3676,53,033,004500,53033004500,3676
Census Tract 46; King County; Washington,3625,53,033,004600,53033004600,3625
Census Tract 47.01; King County; Washington,3658,53,033,004701,53033004701,3658
Census Tract 47.02; King County; Washington,3482,53,033,004702,53033004702,3482
Census Tract 47.03; King County; Washington,4074,53,033,004703,53033004703,4074
Census Tract 48; King County; Washington,5110,53,033,004800,53033004800,5110
Census Tract 49.01; King County; Washington,4067,53,033,004901,53033004901,4067
Census Tract 49.02; King County; Washington,3264,53,033,004902,53033004902,3264
Census Tract 50; King County; Washington,4467,53,033,005000,53033005000,4467
Census Tract 51; King County; Washington,3791,53,033,005100,53033005100,3791
Census Tract 52.01; King County; Washington,3697,53,033,005201,53033005201,3697
Census Tract 52.02; King County; Washington,3223,53,033,005202,53033005202,3223
Census Tract 53.03; King County; Washington,3894,53,033,005303,53033005303,3894
Census Tract 53.04; King County; Washington,3541,53,033,005304,53033005304,3541
Census Tract 53.05; King County; Washington,2468,53,033,005305,53033005305,2468
Census Tract 53.06; King County; Washington,3591,53,033,005306,53033005306,3591
Census Tract 53.07; King County; Washington,3004,53,033,005307,53033005307,3004
Census Tract 54.01; King County; Washington,3332,53,033,005401,53033005401,3332
Census Tract 54.02; King County; Washington,3056,53,033,005402,53033005402,3056
Census Tract 56; King County; Washington,7032,53,033,005600,53033005600,7032
Census Tract 57; King County; Washington,6483,53,033,005700,53033005700,6483
Census Tract 58.01; King County; Washington,6104,53,033,005801,53033005801,6104
Census Tract 58.03; King County; Washington,3284,53,033,005803,53033005803,3284
Census Tract 58.04; King County; Washington,2449,53,033,005804,53033005804,2449
Census Tract 59.01; King County; Washington,3832,53,033,005901,53033005901,3832
Census Tract 59.02; King County; Washington,4213,53,033,005902,53033005902,4213
Census Tract 60; King County; Washington,6251,53,033,006000,53033006000,6251
Census Tract 61; King County; Washington,5891,53,033,006100,53033006100,5891
Census Tract 62; King County; Washington,4201,53,033,006200,53033006200,4201
Census Tract 63; King County; Washington,5709,53,033,006300,53033006300,5709
Census Tract 64; King County; Washington,3452,53,033,006400,53033006400,3452
Census Tract 65; King County; Washington,4756,53,033,006500,53033006500,4756
Census Tract 66; King County; Washington,4224,53,033,006600,53033006600,4224
Census Tract 67.01; King County; Washington,3658,53,033,006701,53033006701,3658
Census Tract 67.02; King County; Washington,3086,53,033,006702,53033006702,3086
Census Tract 67.03; King County; Washington,3217,53,033,006703,53033006703,3217
Census Tract 68; King County; Washington,3249,53,033,006800,53033006800,3249
Census Tract 69; King County; Washington,4716,53,033,006900,53033006900,4716
Census Tract 70.01; King County; Washington,3676,53,033,007001,53033007001,3676
Census Tract 70.02; King County; Washington,3842,53,033,007002,53033007002,3842
Census Tract 71.01; King County; Washington,3043,53,033,007101,53033007101,3043
Census Tract 71.02; King County; Washington,2550,53,033,007102,53033007102,2550
Census Tract 72.01; King County; Washington,5418,53,033,007201,53033007201,5418
Census Tract 72.02; King County; Washington,3398,53,033,007202,53033007202,3398
Census Tract 72.03; King County; Washington,3353,53,033,007203,53033007203,3353
Census Tract 73.01; King County; Washington,3178,53,033,007301,53033007301,3178
Census Tract 73.02; King County; Washington,4783,53,033,007302,53033007302,4783
Census Tract 73.03; King County; Washington,3227,53,033,007303,53033007303,3227
Census Tract 74.03; King County; Washington,2793,53,033,007403,53033007403,2793
Census Tract 74.04; King County; Washington,2973,53,033,007404,53033007404,2973
Census Tract 74.05; King County; Washington,2578,53,033,007405,53033007405,2578
Census Tract 74.06; King County; Washington,2490,53,033,007406,53033007406,2490
Census Tract 75.01; King County; Washington,3924,53,033,007501,53033007501,3924
Census Tract 75.02; King County; Washington,2482,53,033,007502,53033007502,2482
Census Tract 75.03; King County; Washington,2228,53,033,007503,53033007503,2228
Census Tract 76; King County; Washington,4536,53,033,007600,53033007600,4536
Census Tract 77; King County; Washington,5474,53,033,007700,53033007700,5474
Census Tract 78; King County; Washington,5754,53,033,007800,53033007800,5754
Census Tract 79.01; King County; Washington,3153,53,033,007901,53033007901,3153
Census Tract 79.02; King County; Washington,3843,53,033,007902,53033007902,3843
Census Tract 80.02; King County; Washington,4263,53,033,008002,53033008002,4263
Census Tract 80.03; King County; Washington,4109,53,033,008003,53033008003,4109
Census Tract 80.04; King County; Washington,3060,53,033,008004,53033008004,3060
Census Tract 81.01; King County; Washington,2661,53,033,008101,53033008101,2661
Census Tract 81.02; King County; Washington,3244,53,033,008102,53033008102,3244
Census Tract 82; King County; Washington,4567,53,033,008200,53033008200,4567
Census Tract 83; King County; Washington,3517,53,033,008300,53033008300,3517
Census Tract 84.01; King County; Washington,3214,53,033,008401,53033008401,3214
Census Tract 84.02; King County; Washington,2753,53,033,008402,53033008402,2753
Census Tract 85; King County; Washington,4314,53,033,008500,53033008500,4314
Census Tract 86; King County; Washington,6721,53,033,008600,53033008600,6721
Census Tract 87; King County; Washington,4767,53,033,008700,53033008700,4767
Census Tract 88; King County; Washington,4274,53,033,008800,53033008800,4274
Census Tract 89; King County; Washington,6117,53,033,008900,53033008900,6117
Census Tract 90; King County; Washington,3890,53,033,009000,53033009000,3890
Census Tract 91; King County; Washington,2762,53,033,009100,53033009100,2762
Census Tract 92; King County; Washington,3130,53,033,009200,53033009200,3130
Census Tract 93; King County; Washington,3224,53,033,009300,53033009300,3224
Census Tract 94; King County; Washington,6382,53,033,009400,53033009400,6382
Census Tract 95; King County; Washington,7052,53,033,009500,53033009500,7052
Census Tract 96; King County; Washington,5786,53,033,009600,53033009600,5786
Census Tract 97.01; King County; Washington,5975,53,033,009701,53033009701,5975
Census Tract 97.02; King County; Washington,5972,53,033,009702,53033009702,5972
Census Tract 98.01; King County; Washington,3291,53,033,009801,53033009801,3291
Census Tract 98.02; King County; Washington,3970,53,033,009802,53033009802,3970
Census Tract 99; King County; Washington,5745,53,033,009900,53033009900,5745
Census Tract 100.01; King County; Washington,4243,53,033,010001,53033010001,4243
Census Tract 100.02; King County; Washington,4974,53,033,010002,53033010002,4974
Census Tract 101.01; King County; Washington,4357,53,033,010101,53033010101,4357
Census Tract 101.02; King County; Washington,4762,53,033,010102,53033010102,4762
Census Tract 102; King County; Washington,5253,53,033,010200,53033010200,5253
Census Tract 103.01; King County; Washington,4036,53,033,010301,53033010301,4036
Census Tract 103.02; King County; Washington,3153,53,033,010302,53033010302,3153
Census Tract 104.01; King County; Washington,4517,53,033,010401,53033010401,4517
Census Tract 104.02; King County; Washington,4768,53,033,010402,53033010402,4768
Census Tract 105.01; King County; Washington,4500,53,033,010501,53033010501,4500
Census Tract 105.02; King County; Washington,5768,53,033,010502,53033010502,5768
Census Tract 106.01; King County; Washington,4233,53,033,010601,53033010601,4233
Census Tract 106.02; King County; Washington,3744,53,033,010602,53033010602,3744
Census Tract 107.01; King County; Washington,4307,53,033,010701,53033010701,4307
Census Tract 107.02; King County; Washington,4919,53,033,010702,53033010702,4919
Census Tract 108; King County; Washington,4893,53,033,010800,53033010800,4893
Census Tract 109; King County; Washington,1317,53,033,010900,53033010900,1317
Census Tract 110.01; King County; Washington,5177,53,033,011001,53033011001,5177
Census Tract 110.02; King County; Washington,4733,53,033,011002,53033011002,4733
Census Tract 111.01; King County; Washington,5069,53,033,011101,53033011101,5069
Census Tract 111.02; King County; Washington,5468,53,033,011102,53033011102,5468
Census Tract 112; King County; Washington,3902,53,033,011200,53033011200,3902
Census Tract 113; King County; Washington,6219,53,033,011300,53033011300,6219
Census Tract 114.01; King County; Washington,5204,53,033,011401,53033011401,5204
Census Tract 114.02; King County; Washington,4379,53,033,011402,53033011402,4379
Census Tract 115; King County; Washington,4220,53,033,011500,53033011500,4220
Census Tract 116.01; King County; Washington,3361,53,033,011601,53033011601,3361
Census Tract 116.02; King County; Washington,3581,53,033,011602,53033011602,3581
Census Tract 117; King County; Washington,5719,53,033,011700,53033011700,5719
Census Tract 118.01; King County; Washington,3226,53,033,011801,53033011801,3226
Census Tract 118.02; King County; Washington,4542,53,033,011802,53033011802,4542
Census Tract 119.01; King County; Washington,4571,53,033,011901,53033011901,4571
Census Tract 119.02; King County; Washington,3180,53,033,011902,53033011902,3180
Census Tract 120; King County; Washington,3308,53,033,012000,53033012000,3308
Census Tract 121; King County; Washington,2842,53,033,012100,53033012100,2842
Census Tract 201; King County; Washington,3416,53,033,020100,53033020100,3416
Census Tract 202; King County; Washington,5695,53,033,020200,53033020200,5695
Census Tract 203.01; King County; Washington,3436,53,033,020301,53033020301,3436
Census Tract 203.02; King County; Washington,3969,53,033,020302,53033020302,3969
Census Tract 204.01; King County; Washington,4090,53,033,020401,53033020401,4090
Census Tract 204.02; King County; Washington,5400,53,033,020402,53033020402,5400
Census Tract 205; King County; Washington,7498,53,033,020500,53033020500,7498
Census Tract 206; King County; Washington,3759,53,033,020600,53033020600,3759
Census Tract 207; King County; Washington,4460,53,033,020700,53033020700,4460
Census Tract 208; King County; Washington,4573,53,033,020800,53033020800,4573
Census Tract 209; King County; Washington,3650,53,033,020900,53033020900,3650
Census Tract 210; King County; Washington,5813,53,033,021000,53033021000,5813
Census Tract 211; King County; Washington,4245,53,033,021100,53033021100,4245
Census Tract 213; King County; Washington,4203,53,033,021300,53033021300,4203
Census Tract 214; King County; Washington,4027,53,033,021400,53033021400,4027
Census Tract 215; King County; Washington,5111,53,033,021500,53033021500,5111
Census Tract 216; King County; Washington,5195,53,033,021600,53033021600,5195
Census Tract 217.01; King County; Washington,4407,53,033,021701,53033021701,4407
Census Tract 217.02; King County; Washington,5082,53,033,021702,53033021702,5082
Census Tract 218.02; King County; Washington,6187,53,033,021802,53033021802,6187
Census Tract 218.03; King County; Washington,6180,53,033,021803,53033021803,6180
Census Tract 218.04; King County; Washington,5148,53,033,021804,53033021804,5148
Census Tract 219.03; King County; Washington,6226,53,033,021903,53033021903,6226
Census Tract 219.04; King County; Washington,5866,53,033,021904,53033021904,5866
Census Tract 219.05; King County; Washington,5653,53,033,021905,53033021905,5653
Census Tract 219.06; King County; Washington,4899,53,033,021906,53033021906,4899
Census Tract 220.01; King County; Washington,5278,53,033,022001,53033022001,5278
Census Tract 220.03; King County; Washington,5411,53,033,022003,53033022003,5411
Census Tract 220.05; King County; Washington,4605,53,033,022005,53033022005,4605
Census Tract 220.06; King County; Washington,4057,53,033,022006,53033022006,4057
Census Tract 221.01; King County; Washington,5178,53,033,022101,53033022101,5178
Census Tract 221.02; King County; Washington,6660,53,033,022102,53033022102,6660
Census Tract 222.01; King County; Washington,4814,53,033,022201,53033022201,4814
Census Tract 222.03; King County; Washington,5216,53,033,022203,53033022203,5216
Census Tract 222.04; King County; Washington,3574,53,033,022204,53033022204,3574
Census Tract 222.05; King County; Washington,4130,53,033,022205,53033022205,4130
Census Tract 223; King County; Washington,2590,53,033,022300,53033022300,2590
Census Tract 224.01; King County; Washington,3661,53,033,022401,53033022401,3661
Census Tract 224.02; King County; Washington,5868,53,033,022402,53033022402,5868
Census Tract 225.01; King County; Washington,4627,53,033,022501,53033022501,4627
Census Tract 225.02; King County; Washington,4023,53,033,022502,53033022502,4023
Census Tract 226.03; King County; Washington,6083,53,033,022603,53033022603,6083
Census Tract 226.04; King County; Washington,4872,53,033,022604,53033022604,4872
Census Tract 226.05; King County; Washington,7264,53,033,022605,53033022605,7264
Census Tract 226.06; King County; Washington,6468,53,033,022606,53033022606,6468
Census Tract 227.01; King County; Washington,3020,53,033,022701,53033022701,3020
Census Tract 227.02; King County; Washington,4035,53,033,022702,53033022702,4035
Census Tract 227.03; King County; Washington,3040,53,033,022703,53033022703,3040
Census Tract 228.02; King County; Washington,6234,53,033,022802,53033022802,6234
Census Tract 228.03; King County; Washington,7442,53,033,022803,53033022803,7442
Census Tract 228.04; King County; Washington,5039,53,033,022804,53033022804,5039
Census Tract 228.05; King County; Washington,3409,53,033,022805,53033022805,3409
Census Tract 229.01; King County; Washington,3176,53,033,022901,53033022901,3176
Census Tract 229.02; King County; Washington,6721,53,033,022902,53033022902,6721
Census Tract 230; King County; Washington,7249,53,033,023000,53033023000,7249
Census Tract 231; King County; Washington,4436,53,033,023100,53033023100,4436
Census Tract 232.01; King County; Washington,6046,53,033,023201,53033023201,6046
Census Tract 232.02; King County; Washington,5122,53,033,023202,53033023202,5122
Census Tract 233; King County; Washington,7759,53,033,023300,53033023300,7759
Census Tract 234.01; King County; Washington,4320,53,033,023401,53033023401,4320
Census Tract 234.03; King County; Washington,4122,53,033,023403,53033023403,4122
Census Tract 234.04; King County; Washington,3667,53,033,023404,53033023404,3667
Census Tract 235; King County; Washington,4045,53,033,023500,53033023500,4045
Census Tract 236.01; King County; Washington,4604,53,033,023601,53033023601,4604
Census Tract 236.03; King County; Washington,6564,53,033,023603,53033023603,6564
Census Tract 236.04; King County; Washington,6238,53,033,023604,53033023604,6238
Census Tract 237.01; King County; Washington,4476,53,033,023701,53033023701,4476
Census Tract 237.02; King County; Washington,1022,53,033,023702,53033023702,1022
Census Tract 238.01; King County; Washington,3293,53,033,023801,53033023801,3293
Census Tract 238.05; King County; Washington,3425,53,033,023805,53033023805,3425
