service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1324,0,0,1,0,0,0,0,20260617,20260617
17593,0,0,0,0,0,0,1,20260419,20260823
18253,0,0,0,0,0,0,0,20260417,20260828
1868,1,0,0,0,0,0,0,20260525,20260525
19461,0,0,0,0,0,0,1,20260419,20260823
20228,0,0,0,0,0,0,1,20260419,20260823
21620,0,0,0,0,0,1,0,20260418,20260822
25688,0,0,0,1,0,0,0,20260420,20260616
31579,0,1,1,1,0,0,0,20260420,20260605
32068,0,1,1,1,1,0,0,20260420,20260605
34440,0,0,1,1,0,0,0,20260420,20260617
56367,0,0,0,0,0,0,0,20260413,20260828
58739,0,0,0,0,0,0,0,20260413,20260828
59228,0,0,0,0,0,0,0,20260413,20260828
62573,0,0,1,0,0,0,0,20260413,20260828
65119,0,0,1,0,0,0,0,20260413,20260828
72554,0,1,1,1,0,0,0,20260413,20260827
7428,0,0,1,0,0,0,0,20260422,20260610
767,0,0,0,0,1,0,0,20260703,20260703
8752,0,0,1,0,0,0,0,20260422,20260617
90807,0,1,1,1,0,0,0,20260413,20260828
91574,0,1,1,1,1,0,0,20260413,20260828
93442,1,1,1,1,1,0,0,20260413,20260828
20-1,0,0,0,0,0,1,0,20260315,20260606
20-2,0,0,0,0,0,0,1,20260315,20260606
20-3,1,1,1,1,1,0,0,20260315,20260606
4,0,0,0,0,0,1,0,20260315,20260606
5,1,0,0,0,0,0,0,20260315,20260606
KPOB-CS:211:6:Sunday:1:26MAR:1234567,0,0,0,0,0,0,1,20260329,20260823
KPOB-CS:213:6:Sunday:1:25SEP:1234567,0,0,0,0,0,0,1,20260322,20260322
KPOB-CS:221:0:Weekday:1:26MAR:12345,1,1,1,1,1,0,0,20260330,20260828
KPOB-CS:223:1:Mon-Wed:1:25SEP:123,1,1,1,0,0,0,0,20260318,20260325
KPOB-CS:253:2:Thu-Fri:1:25SEP:45,0,0,0,1,1,0,0,20260319,20260327
KPOB-CS:271:5:Saturday:1:26MAR:6,0,0,0,0,0,1,0,20260328,20260822
KPOB-CS:273:5:Saturday:1:25SEP:6,0,0,0,0,0,1,0,20260321,20260321
MCOB-DO:111:6:Sunday:2:26MAR:1234567,0,0,0,0,0,0,1,20260329,20260823
MCOB-DO:113:6:Sunday:1:25SEP:1234567,0,0,0,0,0,0,1,20260322,20260322
MCOB-DO:121:0:Weekday:2:26MAR:12345,1,1,1,1,1,0,0,20260330,20260828
MCOB-DO:123:0:Weekday:1:25SEP:12345,1,1,1,1,1,0,0,20260318,20260327
MCOB-DO:171:5:Saturday:2:26MAR:6,0,0,0,0,0,1,0,20260328,20260822
MCOB-DO:173:5:Saturday:1:25SEP:6,0,0,0,0,0,1,0,20260321,20260321
1,0,0,0,0,0,1,0,20260329,20260606
2,1,1,1,1,1,0,0,20260329,20260606
3,0,0,0,0,0,0,1,20260329,20260606
LLR_2026-03-29_Jan29_Spring26_CLCrev_Saturday,0,0,0,0,0,1,0,20260329,20260828
LLR_2026-03-29_Jan29_Spring26_CLCrev_Sunday,0,0,0,0,0,0,1,20260329,20260828
LLR_2026-04-13_Jan29_Spring26_CLCrev_Weekday,1,1,1,1,1,0,0,20260413,20260501
LLR_2026-05-04_20260409_Link_PinehurstMar26NB_Weekday,1,1,1,1,1,0,0,20260504,20260515
LLR_2026-05-18_20260331_Link_Spring26PinehurstSB_Weekday,1,1,1,1,1,0,0,20260518,20260529
LLR_2026-06-01_Jan29_Spring26_CLCrev_Weekday,1,1,1,1,1,0,0,20260601,20260828
LLR_BusBridge2026_04_25-26-Sa,0,0,0,0,0,1,0,20260425,20260426
LLR_BusBridge2026_04_25-26-Su,0,0,0,0,0,0,1,20260425,20260426
LLR_BusBridge2026_05_09-10-Sa,0,0,0,0,0,1,0,20260509,20260510
LLR_BusBridge2026_05_09-10-Su,0,0,0,0,0,0,1,20260509,20260510
Link2Shuttle260425-Sa,0,0,0,0,0,1,0,20260425,20260502
Link2Shuttle260425-Su,0,0,0,0,0,0,1,20260425,20260502
LinkShuttleMayEMW-MoFr,1,0,0,0,1,0,0,20260428,20260430
LinkShuttleMayEMW-Tu-Th,0,1,1,1,0,0,0,20260428,20260430
Link_Shuttle_April_EMW,1,1,1,1,1,0,0,20260414,20260416
SNDR_Spring2026_Weekday,1,1,1,1,1,0,0,20260330,20260828
TLINE_2026-01-24_TLink_Saturday_ForGTFS_09162023_12mins,0,0,0,0,0,1,0,20260329,20260828
TLINE_2026-01-24_TLink_Sunday_ForGTFS_09162023_20mins,0,0,0,0,0,0,1,20260329,20260828
