station_id,station_name,lat,lon,activity_score,connectivity_score,activity_rank_pct,is_transfer_proxy,connectivity,population_within_radius,population_density_within_radius,city_average_population_density,residential_density_ratio
15th_ave_ne_ne_40th_st,15th Ave NE & NE 40th St,47.65487,-122.312171,0.3301993289088359,0.0,0.37209302325581395,0,15,18124.04756594597,5769.06351790587,2841.0060694208155,2.030641039454726
15th_ave_ne_ne_43rd_st,15th Ave NE & NE 43rd St,47.65936,-122.312047,0.496132506368416,0.0,0.5581395348837209,0,15,25090.402808476218,7986.523262271527,2841.0060694208155,2.8111602253281025
15th_ave_ne_ne_campus_pkwy,15th Ave NE & NE Campus Pkwy,47.656436,-122.312131,0.4043447982467575,0.0,0.4883720930232558,0,15,21236.889053947467,6759.911737659809,2841.0060694208155,2.379407707157037
16th_ave_sw_sw_116th_st,16th Ave SW & SW 116th St,47.49928,-122.355224,0.0975338402982489,0.2375,0.18604651162790697,0,72,7688.9043037848805,2447.4542538158234,2841.0060694208155,0.861474489674278
2nd_ave_cherry_st,2nd Ave & Cherry St,47.603056,-122.33332,0.39328250048221985,0.5041666666666667,0.46511627906976744,0,136,18815.422791368965,5989.135087220557,2841.0060694208155,2.10810358755817
2nd_ave_james_st,2nd Ave & James St,47.602386,-122.33271,0.35779409462447886,0.4375,0.4186046511627907,0,120,18170.601768854685,5783.88218093512,2841.0060694208155,2.035857030785667
2nd_ave_marion_st,2nd Ave & Marion St,47.60447,-122.334618,0.414399965521873,0.4375,0.5116279069767442,0,120,20547.080129127804,6540.3387373118985,2841.0060694208155,2.3021206493392854
2nd_ave_pike_st,2nd Ave & Pike St,47.608692,-122.338512,0.5994060114217963,0.4375,0.6511627906976745,0,120,28314.16961349971,9012.680107061638,2841.0060694208155,3.1723551047882896
2nd_ave_seneca_st,2nd Ave & Seneca St,47.606176,-122.336189,0.5030661985796981,0.5041666666666667,0.5813953488372093,0,136,23424.460311740826,7456.237295746944,2841.0060694208155,2.6245059368236467
2nd_ave_stewart_st,2nd Ave & Stewart St,47.610721,-122.340275,0.7122585707063969,0.5041666666666667,0.7441860465116279,0,136,32206.961801638183,10251.794345405144,2841.0060694208155,3.6085084279651456
2nd_ave_yesler_way,2nd Ave & Yesler Way,47.601279,-122.331647,0.3496306356699355,0.5041666666666667,0.3953488372093023,0,136,16982.791114347332,5405.790306690991,2841.0060694208155,1.9027732340582602
2nd_ave_ext_jackson_st_s,2nd Ave Ext & Jackson St S,47.599321,-122.3299,0.26795707871146596,0.4375,0.32558139534883723,0,120,14398.98372139495,4583.338869519482,2841.0060694208155,1.613280210433999
45th_st_ne_roosevelt_way_ne,45th St NE & Roosevelt Way NE,47.66124,-122.317192,0.5389964148093842,0.0,0.6046511627906976,0,15,26889.95379553432,8559.33813214392,2841.0060694208155,3.012784176800044
4th_ave_cherry_st,4th Ave & Cherry St,47.604446,-122.33126,0.49576943218773956,0.4583333333333333,0.5348837209302325,0,125,23518.42435720433,7486.146980363801,2841.0060694208155,2.635033786425515
4th_ave_pine_st,4th Ave & Pine St,47.610791,-122.337195,0.7941570681566322,0.9416666666666667,0.7674418604651163,1,241,34933.64732310385,11119.72530340187,2841.0060694208155,3.9140096964554547
4th_ave_seneca_st,4th Ave & Seneca St,47.607451,-122.334088,0.6221175620233982,0.4583333333333333,0.6744186046511628,0,125,28822.884683584438,9174.609143120286,2841.0060694208155,3.229352179803923
4th_ave_university,4th Ave & University,47.608699,-122.335214,0.6509141372295281,0.3875,0.7209302325581395,0,108,30787.976983775025,9800.117449534595,2841.0060694208155,3.449523587794554
4th_ave_washington_st,4th Ave & Washington St,47.601421,-122.328898,0.39187356027564085,0.4583333333333333,0.4418604651162791,0,125,19156.57482805634,6097.727153189882,2841.0060694208155,2.146326689978878
4th_ave_s_jackson_st,4th Ave S & Jackson St,47.598881,-122.328961,0.2694604100090265,0.4583333333333333,0.3488372093023256,0,125,14017.316337558257,4461.850368010359,2841.0060694208155,1.5705177176618907
ambaum_blvd_sw_sw_116th_st,Ambaum Blvd SW & SW 116th St,47.49848,-122.354278,0.09545257031292792,0.22916666666666666,0.16279069767441862,0,70,7779.439197385585,2476.2724054935256,2841.0060694208155,0.8716181327970036
ambaum_blvd_sw_sw_128th_st,Ambaum Blvd SW & SW 128th St,47.488387,-122.3500405,0.10716469031855397,0.5291666666666667,0.20930232558139536,0,142,6447.543410563281,2052.3168091814478,2841.0060694208155,0.7223908569825215
ambaum_blvd_sw_sw_136th_st,Ambaum Blvd SW & SW 136th St,47.4813065,-122.3483105,0.08938836622070123,0.5291666666666667,0.11627906976744186,0,142,5701.241854310866,1814.7616457519555,2841.0060694208155,0.6387742938268075
boren_ave_virginia_st,Boren Ave & Virginia St,47.617492,-122.33381,0.9382989986196413,0.4375,0.9069767441860465,0,120,42541.87846694782,13541.500492858817,2841.0060694208155,4.766445464025168
bus_wy_holgate_st,Bus Wy & Holgate St,47.5860605,-122.3275645,0.0076056125271605326,0.9875,0.06976744186046512,1,252,1511.636361890643,481.16879830469,2841.0060694208155,0.16936563546405373
bus_wy_lander_st,Bus Wy & Lander St,47.5797235,-122.32756549999999,0.0054990876860391,0.9875,0.046511627906976744,1,252,1423.19834970323,453.01810471099384,2841.0060694208155,0.15945692956697866
bus_wy_royal_brougham_st,Bus Wy & Royal Brougham St,47.592196,-122.3274255,0.09075687712859827,0.9875,0.13953488372093023,1,252,5002.567210969022,1592.3665995503127,2841.0060694208155,0.5604939097771594
bus_wy_s_spokane_st,Bus Wy & S Spokane St,47.5720125,-122.327515,0.0,0.9875,0.023255813953488372,1,252,1192.3307262582223,379.53065776869124,2841.0060694208155,0.13359023124018338
eastlake_ave_e_stewart_st,Eastlake Ave E & Stewart St,47.619633,-122.329069,0.8814295995857458,0.9416666666666667,0.8372093023255814,1,241,38597.60088656881,12285.997945171097,2841.0060694208155,4.3245236528747695
fairview_ave_n_thomas_st,Fairview Ave N & Thomas St,47.620507,-122.33438,0.8252912907375184,0.4375,0.813953488372093,0,120,37797.48768082717,12031.314001717328,2841.0060694208155,4.234877964963343
howell_st_9th_ave,Howell St & 9th Ave,47.614592,-122.333356,0.9638720312243252,0.9416666666666667,0.9534883720930233,1,241,42058.77287546933,13387.723207020546,2841.0060694208155,4.712317707138812
howell_st_yale_ave,Howell St & Yale Ave,47.617667,-122.329423,0.951817284871098,0.9416666666666667,0.9302325581395349,1,241,41552.67971953231,13226.628752155837,2841.0060694208155,4.655614394675439
ne_45th_st_university_way_ne,NE 45th St & University Way NE,47.661251,-122.313216,0.5541902157209365,0.0,0.627906976744186,0,15,27527.833550834835,8762.381564452571,2841.0060694208155,3.084253025280908
olive_wy_6th_ave,Olive Wy & 6th Ave,47.612965,-122.336549,0.907455499319862,0.9416666666666667,0.8837209302325582,1,241,39690.243514342816,12633.796895657399,2841.0060694208155,4.446944704427541
pacific_st_ne_uw_hitchcock_hall,Pacific St NE & UW Hitchcock Hall,47.652127,-122.310828,0.19211029892696835,0.0,0.3023255813953488,0,15,12326.670256128415,3923.7010062533536,2841.0060694208155,1.3810956085191548
sw_roxbury_st_20th_ave_sw,SW Roxbury St & 20th Ave SW,47.51738,-122.359281,0.15285043848486995,0.5291666666666667,0.27906976744186046,0,142,8365.563399813826,2662.8415336580238,2841.0060694208155,0.9372882241680274
seneca_st_5th_ave,Seneca St & 5th Ave,47.608031,-122.333007,0.6494579876651357,0.06666666666666667,0.6976744186046512,0,31,31171.62519338291,9922.236467469496,2841.0060694208155,3.4925080147724934
stewart_st_3rd_ave,Stewart St & 3rd Ave,47.611895,-122.339343,0.8231244109288784,1.0,0.7906976744186046,1,255,35438.12971117862,11280.307034931677,2841.0060694208155,3.9705325364656288
stewart_st_7th_ave,Stewart St & 7th Ave,47.614406,-122.336079,0.9714891260524122,1.0,0.9767441860465116,1,255,41666.91003607236,13262.989391212439,2841.0060694208155,4.66841290272791
